Year,Births,Deaths, 1_Year_Survivors, 2_Year_Survivors
2004,144991,115034,,
2005,153884,138720,111577,
2006,164755,127482,114355,85396
2007,187574,155107,125878,88264
2008,181173,187063,139678,95594
2009,150100,190433,139678,95594
2010,138362,178148,129535,99015
2011,144232,182021,104572,88369
2012,134757,167202,96915,73522
2013,200925,149122,101426,67351
2014,178331,147118,95611,73353
2015,181840,146369,153197,70636
2016,180070,144380,129939,121674
2017,188846,150765,133222,99119
2018,196550,159942,135324,101054
2019,196193,163451,149567,102651
2020,154287,145139,146272,114875
2021,187036,143194,116751,112454
2022,232173,150661,141148,91093

