01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1960,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,1.93
1960,Portugal,Bebidas alcoólicas e tabaco,,,,,0.12
1960,Portugal,Bens e serviços diversos,,,,,5.70
1960,Portugal,Comunicações,,,,,0.00
1960,Portugal,Educação,,,,,-0.11
1960,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,3.38
1960,Portugal,"Lazer, recreação e cultura",,,,,-0.83
1960,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,3.22
1960,Portugal,Restaurantes e hotéis,,,,,2.50
1960,Portugal,Saúde,,,,,0.98
1960,Portugal,Total,,,,,2.57
1960,Portugal,Transportes,,,,,1.52
1960,Portugal,Vestuário e calçado,,,,,1.45
1961,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,2.55
1961,Portugal,Bebidas alcoólicas e tabaco,,,,,1.09
1961,Portugal,Bens e serviços diversos,,,,,6.30
1961,Portugal,Comunicações,,,,,0.00
1961,Portugal,Educação,,,,,-0.33
1961,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,4.58
1961,Portugal,"Lazer, recreação e cultura",,,,,-0.53
1961,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,-1.55
1961,Portugal,Restaurantes e hotéis,,,,,4.76
1961,Portugal,Saúde,,,,,-0.15
1961,Portugal,Total,,,,,0.50
1961,Portugal,Transportes,,,,,1.19
1961,Portugal,Vestuário e calçado,,,,,1.07
1962,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,4.01
1962,Portugal,Bebidas alcoólicas e tabaco,,,,,5.88
1962,Portugal,Bens e serviços diversos,,,,,-2.72
1962,Portugal,Comunicações,,,,,0.00
1962,Portugal,Educação,,,,,0.03
1962,Portugal,"Habitação, água, eletricidade, gás e outros combustíveis",,,,,1.87
1962,Portugal,"Lazer, recreação e cultura",,,,,0.03
1962,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,2.72
1962,Portugal,Restaurantes e hotéis,,,,,2.05
