01. Ano,02. Nome Região (Portugal),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
2003,Portugal,Até 1 milhão de euros (inclusive),,,,r,6.18
2003,Portugal,Mais de 1 milhão de euros,,,,r,3.89
2003,Portugal,Total,,,,r,5.04
2004,Portugal,Até 1 milhão de euros (inclusive),,,,r,5.69
2004,Portugal,Mais de 1 milhão de euros,,,,r,3.53
2004,Portugal,Total,,,,,4.69
2005,Portugal,Até 1 milhão de euros (inclusive),,,,r,5.75
2005,Portugal,Mais de 1 milhão de euros,,,,r,3.74
2005,Portugal,Total,,,,r,4.86
2006,Portugal,Até 1 milhão de euros (inclusive),,,,r,6.24
2006,Portugal,Mais de 1 milhão de euros,,,,r,4.34
2006,Portugal,Total,,,,r,5.29
2007,Portugal,Até 1 milhão de euros (inclusive),,,,r,7.05
2007,Portugal,Mais de 1 milhão de euros,,,,r,5.24
2007,Portugal,Total,,,,r,6.07
2008,Portugal,Até 1 milhão de euros (inclusive),,,,r,7.64
2008,Portugal,Mais de 1 milhão de euros,,,,r,5.94
2008,Portugal,Total,,,,r,6.68
2009,Portugal,Até 1 milhão de euros (inclusive),,,,r,5.71
2009,Portugal,Mais de 1 milhão de euros,,,,r,3.84
2009,Portugal,Total,,,,r,4.77
2010,Portugal,Até 1 milhão de euros (inclusive),,,,r,5.44
2010,Portugal,Mais de 1 milhão de euros,,,,r,3.77
2010,Portugal,Total,,,,r,4.60
2011,Portugal,Até 1 milhão de euros (inclusive),,,,r,6.90
2011,Portugal,Mais de 1 milhão de euros,,,,r,5.34
2011,Portugal,Total,,,,r,6.09
2012,Portugal,Até 1 milhão de euros (inclusive),,,,r,7.08
2012,Portugal,Mais de 1 milhão de euros,,,,r,5.45
2012,Portugal,Total,,,,r,6.16
2013,Portugal,Até 1 milhão de euros (inclusive),,,,r,6.39
2013,Portugal,Mais de 1 milhão de euros,,,,r,4.98
2013,Portugal,Total,,,,r,5.52
2014,Portugal,Até 1 milhão de euros (inclusive),,,,r,5.53
2014,Portugal,Mais de 1 milhão de euros,,,,r,4.29
2014,Portugal,Total,,,,r,4.87
2015,Portugal,Até 1 milhão de euros (inclusive),,,,,4.21
2015,Portugal,Mais de 1 milhão de euros,,,,,3.27
2015,Portugal,Total,,,,r,3.80
2016,Portugal,Até 1 milhão de euros (inclusive),,,,r,3.48
2016,Portugal,Mais de 1 milhão de euros,,,,r,2.68
2016,Portugal,Total,,,,r,3.16
2017,Portugal,Até 1 milhão de euros (inclusive),,,,r,3.10
2017,Portugal,Mais de 1 milhão de euros,,,,r,2.21
2017,Portugal,Total,,,,r,2.73
2018,Portugal,Até 1 milhão de euros (inclusive),,,,r,2.79
2018,Portugal,Mais de 1 milhão de euros,,,,r,1.90
2018,Portugal,Total,,,,,2.41
2019,Portugal,Até 1 milhão de euros (inclusive),,,,r,2.65
2019,Portugal,Mais de 1 milhão de euros,,,,r,1.78
2019,Portugal,Total,,,,r,2.24
2020,Portugal,Até 1 milhão de euros (inclusive),,,,r,2.22
2020,Portugal,Mais de 1 milhão de euros,,,,r,1.71
2020,Portugal,Total,,,,r,2.00
2021,Portugal,Até 1 milhão de euros (inclusive),,,,r,2.19
2021,Portugal,Mais de 1 milhão de euros,,,,r,1.71
2021,Portugal,Total,,,,r,1.98
2022,Portugal,Até 1 milhão de euros (inclusive),,,,r,2.85
2022,Portugal,Mais de 1 milhão de euros,,,,r,2.27
2022,Portugal,Total,,,,r,2.60
2023,Portugal,Até 1 milhão de euros (inclusive),,,,r,5.54
2023,Portugal,Mais de 1 milhão de euros,,,,r,5.12
2023,Portugal,Total,,,,r,5.34
2024,Portugal,Até 1 milhão de euros (inclusive),,,,,5.30
2024,Portugal,Mais de 1 milhão de euros,,,,,4.99
2024,Portugal,Total,,,,,5.16
,,,,,,,
,Indicador: Taxas de juro sobre novas operações de empréstimos (média anual) a empresas por escalão de crédito,,,,,,
,Ultima atualização: 07.02.2025 08:20:03,,,,,,
,Fonte: Banco de Portugal,,,,,,
