01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,,Portugal,,,,,,493.9
1961,,Portugal,,,,,,516.1
1962,,Portugal,,,,,,577.4
1963,,Portugal,,,,,,597.4
1964,,Portugal,,,,,,649.4
1965,,Portugal,,,,,,756.3
1966,,Portugal,,,,,,810.5
1967,,Portugal,,,,,,907.1
1968,,Portugal,,,,,,979.6
1969,,Portugal,,,,,,1048.5
1970,,Portugal,,,,,,1186.7
1971,,Portugal,,,,,,1377.0
1972,,Portugal,,,,,,1624.4
1973,,Portugal,,,,,,1919.1
1974,,Portugal,,,,,,2279.1
1975,,Portugal,,,,,,2632.3
1976,,Portugal,,,,,,3160.1
1977,,Portugal,,,,,,4074.3
1978,,Portugal,,,,,,5039.3
1979,,Portugal,,,,,,6404.3
1980,,Portugal,,,,,,8356.8
1981,,Portugal,,,,,,10058.2
1982,,Portugal,,,,,,12147.0
1983,,Portugal,,,,,,15440.0
1984,,Portugal,,,,,,18948.9
1985,,Portugal,,,,,,23226.6
1986,,Portugal,,,,,,28332.5
1987,,Portugal,,,,,,33508.4
1988,,Portugal,,,,,,40045.8
1989,,Portugal,,,,,,47221.2
1990,,Portugal,,,,,,56691.9
1991,,Portugal,,,,,,65005.2
1992,,Portugal,,,,,,72957.5
1993,,Portugal,,,,,,76065.1
1994,,Portugal,,,,,,82468.7
1995,,Portugal,,,,,,89028.6
1995,Alemanha,,,,,,,1983157.1
1995,Áustria,,,,,,,183629.2
1995,Bélgica,,,,,,,220251.5
1995,Bulgária,,,,,,,14512.8
1995,Chéquia,,,,,,,46333.6
1995,Chipre,,,,,,,7596.0
1995,Croácia,,,,,,,17520.1
1995,Dinamarca,,,,,,,141320.3
1995,Eslováquia,,,,,,,15524.4
1995,Eslovénia,,,,,,,16352.0
1995,Espanha,,,,,,,469819.9
1995,Estónia,,,,,,,2988.1
1995,Finlândia,,,,,,,102544.7
1995,França,,,,,,,1220222.9
1995,Grécia,,,,,,,103206.4
1995,Hungria,,,,,,,35585.4
1995,Irlanda,,,,,,,52881.3
1995,Itália,,,,,,,900369.7
1995,Letónia,,,,,,,4008.1
1995,Lituânia,,,,,,,5156.9
1995,Luxemburgo,,,,,,,15946.2
1995,Malta,,,,,,,2838.2
1995,Países Baixos,,,,,,,346510.0
1995,Polónia,,,,,,,109251.2
1995,Portugal,,,,,,,91015.8
1995,Roménia,,,,,,,28589.8
1995,Suécia,,,,,,,204133.2
1995,União Europeia 27,,,,,,,6341265.0
1996,,Portugal,,,,,,94351.6
1996,Alemanha,,,,,,,1975310.3
1996,Áustria,,,,,,,185944.9
1996,Bélgica,,,,,,,219965.3
1996,Bulgária,,,,,,,9829.8
1996,Chéquia,,,,,,,53416.0
1996,Chipre,,,,,,,7890.1
1996,Croácia,,,,,,,19176.8
1996,Dinamarca,,,,,,,147724.2
1996,Eslováquia,,,,,,,17219.8
1996,Eslovénia,,,,,,,16917.3
1996,Espanha,,,,,,,506096.6
1996,Estónia,,,,,,,3770.0
1996,Finlândia,,,,,,,104034.1
1996,França,,,,,,,1259758.8
1996,Grécia,,,,,,,112262.3
1996,Hungria,,,,,,,36896.3
1996,Irlanda,,,,,,,59701.5
1996,Itália,,,,,,,1035610.7
1996,Letónia,,,,,,,4565.2
1996,Lituânia,,,,,,,6639.4
1996,Luxemburgo,,,,,,,16462.1
1996,Malta,,,,,,,3010.5
1996,Países Baixos,,,,,,,355624.3
1996,Polónia,,,,,,,126689.1
1996,Portugal,,,,,,,96626.8
1996,Roménia,,,,,,,29035.4
1996,Suécia,,,,,,,229933.4
1996,União Europeia 27,,,,,,,6640111.1
1997,,Portugal,,,,,,102331.0
1997,Alemanha,,,,,,,1958621.6
1997,Áustria,,,,,,,186913.0
1997,Bélgica,,,,,,,223032.7
1997,Bulgária,,,,,,,10064.7
1997,Chéquia,,,,,,,55174.6
1997,Chipre,,,,,,,8414.3
1997,Croácia,,,,,,,21280.4
1997,Dinamarca,,,,,,,152890.7
1997,Eslováquia,,,,,,,19427.8
1997,Eslovénia,,,,,,,18288.8
1997,Espanha,,,,,,,520533.1
1997,Estónia,,,,,,,4553.7
1997,Finlândia,,,,,,,111990.0
1997,França,,,,,,,1279326.6
1997,Grécia,,,,,,,122477.8
1997,Hungria,,,,,,,41831.0
1997,Irlanda,,,,,,,73118.8
1997,Itália,,,,,,,1099046.2
1997,Letónia,,,,,,,5593.9
1997,Lituânia,,,,,,,8966.6
1997,Luxemburgo,,,,,,,17266.5
1997,Malta,,,,,,,3341.0
1997,Países Baixos,,,,,,,368473.6
1997,Polónia,,,,,,,141122.1
1997,Portugal,,,,,,,103306.6
1997,Roménia,,,,,,,31450.5
1997,Suécia,,,,,,,236737.0
1997,União Europeia 27,,,,,,,6823243.4
1998,,Portugal,,,,,,111353.4
1998,Alemanha,,,,,,,2008652.6
