01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Indicador,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala,09. Símbolo,10. Valor
1960,,Portugal,PIB per capita,,,, euros por pessoa,,56
1961,,Portugal,PIB per capita,,,, euros por pessoa,,58
1962,,Portugal,PIB per capita,,,, euros por pessoa,,64
1963,,Portugal,PIB per capita,,,, euros por pessoa,,66
1964,,Portugal,PIB per capita,,,, euros por pessoa,,72
1965,,Portugal,PIB per capita,,,, euros por pessoa,,84
1966,,Portugal,PIB per capita,,,, euros por pessoa,,91
1967,,Portugal,PIB per capita,,,, euros por pessoa,,102
1968,,Portugal,PIB per capita,,,, euros por pessoa,,111
1969,,Portugal,PIB per capita,,,, euros por pessoa,,120
1970,,Portugal,PIB per capita,,,, euros por pessoa,,137
1971,,Portugal,PIB per capita,,,, euros por pessoa,,159
1972,,Portugal,PIB per capita,,,, euros por pessoa,,188
1973,,Portugal,PIB per capita,,,, euros por pessoa,,222
1974,,Portugal,PIB per capita,,,, euros por pessoa,,260
1975,,Portugal,PIB per capita,,,, euros por pessoa,,290
1976,,Portugal,PIB per capita,,,, euros por pessoa,,338
1977,,Portugal,PIB per capita,,,, euros por pessoa,,431
1978,,Portugal,PIB per capita,,,, euros por pessoa,,527
1979,,Portugal,PIB per capita,,,, euros por pessoa,,663
1980,,Portugal,PIB per capita,,,, euros por pessoa,,856
1981,,Portugal,PIB per capita,,,, euros por pessoa,,1021
1982,,Portugal,PIB per capita,,,, euros por pessoa,,1226
1983,,Portugal,PIB per capita,,,, euros por pessoa,,1551
1984,,Portugal,PIB per capita,,,, euros por pessoa,,1896
1985,,Portugal,PIB per capita,,,, euros por pessoa,,2317
1986,,Portugal,PIB per capita,,,, euros por pessoa,,2824
1987,,Portugal,PIB per capita,,,, euros por pessoa,,3341
1988,,Portugal,PIB per capita,,,, euros por pessoa,,3997
1989,,Portugal,PIB per capita,,,, euros por pessoa,,4720
1990,,Portugal,PIB per capita,,,, euros por pessoa,,5679
1991,,Portugal,PIB per capita,,,, euros por pessoa,,6527
1992,,Portugal,PIB per capita,,,, euros por pessoa,,7331
1993,,Portugal,PIB per capita,,,, euros por pessoa,,7634
1994,,Portugal,PIB per capita,,,, euros por pessoa,,8254
1995,,Portugal,PIB per capita,,,, euros por pessoa,,8880
1995,Alemanha,,PIB per capita,,,, euros por pessoa,,24390
1995,Áustria,,PIB per capita,,,, euros por pessoa,,23100
1995,Bélgica,,PIB per capita,,,, euros por pessoa,,21730
1995,Bulgária,,PIB per capita,,,, euros por pessoa,,1730
1995,Chéquia,,PIB per capita,,,, euros por pessoa,,4490
1995,Chipre,,PIB per capita,,,, euros por pessoa,,11670
1995,Croácia,,PIB per capita,,,, euros por pessoa,,3790
1995,Dinamarca,,PIB per capita,,,, euros por pessoa,,27020
1995,Eslováquia,,PIB per capita,,,, euros por pessoa,,2890
1995,Eslovénia,,PIB per capita,,,, euros por pessoa,,8220
1995,Espanha,,PIB per capita,,,, euros por pessoa,,11830
1995,Estónia,,PIB per capita,,,, euros por pessoa,,2060
1995,Finlândia,,PIB per capita,,,, euros por pessoa,,20080
1995,França,,PIB per capita,,,, euros por pessoa,,20540
1995,Grécia,,PIB per capita,,,, euros por pessoa,,9770
1995,Hungria,,PIB per capita,,,, euros por pessoa,,3450
1995,Irlanda,,PIB per capita,,,, euros por pessoa,,14680
1995,Itália,,PIB per capita,,,, euros por pessoa,,15840
1995,Letónia,,PIB per capita,,,, euros por pessoa,,1610
1995,Lituânia,,PIB per capita,,,, euros por pessoa,,1420
1995,Luxemburgo,,PIB per capita,,,, euros por pessoa,,38940
1995,Malta,,PIB per capita,,,, euros por pessoa,,7650
1995,Países Baixos,,PIB per capita,,,, euros por pessoa,,22410
1995,Polónia,,PIB per capita,,,, euros por pessoa,,2850
1995,Portugal,,PIB per capita,,,, euros por pessoa,,9080
1995,Roménia,,PIB per capita,,,, euros por pessoa,,1260
1995,Suécia,,PIB per capita,,,, euros por pessoa,,23120
1996,,Portugal,PIB per capita,,,, euros por pessoa,,9375
1996,Alemanha,,PIB per capita,,,, euros por pessoa,,24250
1996,Áustria,,PIB per capita,,,, euros por pessoa,,23360
1996,Bélgica,,PIB per capita,,,, euros por pessoa,,21660
1996,Bulgária,,PIB per capita,,,, euros por pessoa,,1180
1996,Chéquia,,PIB per capita,,,, euros por pessoa,,5180
1996,Chipre,,PIB per capita,,,, euros por pessoa,,11930
1996,Croácia,,PIB per capita,,,, euros por pessoa,,4210
1996,Dinamarca,,PIB per capita,,,, euros por pessoa,,28070
1996,Eslováquia,,PIB per capita,,,, euros por pessoa,,3200
1996,Eslovénia,,PIB per capita,,,, euros por pessoa,,8500
