01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,,Portugal,,,,,,3.8
1961,,Portugal,,,,,,2.7
1962,,Portugal,,,,,,10.2
1963,,Portugal,,,,,,1.5
1964,,Portugal,,,,,,5.4
1965,,Portugal,,,,,,9.5
1966,,Portugal,,,,,,2.9
1967,,Portugal,,,,,,5.0
1968,,Portugal,,,,,,3.5
1969,,Portugal,,,,,,2.3
1970,,Portugal,,,,,,7.3
1971,,Portugal,,,,,,6.3
1972,,Portugal,,,,,,9.7
1973,,Portugal,,,,,,5.6
1974,,Portugal,,,,,,0.1
1975,,Portugal,,,,,,-3.3
1976,,Portugal,,,,,,1.7
1977,,Portugal,,,,,,3.0
1978,,Portugal,,,,,,3.4
1979,,Portugal,,,,,,5.4
1980,,Portugal,,,,,,6.8
1981,,Portugal,,,,,,2.5
1982,,Portugal,,,,,,1.3
1983,,Portugal,,,,,,1.7
1984,,Portugal,,,,,,-1.3
1985,,Portugal,,,,,,0.9
1986,,Portugal,,,,,,3.1
1987,,Portugal,,,,,,6.8
1988,,Portugal,,,,,,6.4
1989,,Portugal,,,,,,5.7
1990,,Portugal,,,,,,6.2
1991,,Portugal,,,,,,2.9
1992,,Portugal,,,,,,1.7
1993,,Portugal,,,,,,-1.7
1994,,Portugal,,,,,,1.8
1995,,Portugal,,,,,,2.4
1996,,Portugal,,,,,,3.5
1996,Alemanha,,,,,,,1.0
1996,Áustria,,,,,,,2.2
1996,Bélgica,,,,,,,1.3
1996,Bulgária,,,,,,,5.2
1996,Chéquia,,,,,,,4.2
1996,Chipre,,,,,,,1.2
1996,Croácia,,,,,,,6.1
1996,Dinamarca,,,,,,,2.9
1996,Eslováquia,,,,,,,6.1
1996,Eslovénia,,,,,,,2.9
1996,Espanha,,,,,,,2.6
1996,Estónia,,,,,,,4.9
1996,Finlândia,,,,,,,3.7
1996,França,,,,,,,1.4
1996,Grécia,,,,,,,1.4
1996,Hungria,,,,,,,0.1
1996,Irlanda,,,,,,,7.4
1996,Itália,,,,,,,1.3
1996,Letónia,,,,,,,2.3
1996,Lituânia,,,,,,,5.0
1996,Luxemburgo,,,,,,,1.4
1996,Malta,,,,,,x,
1996,Países Baixos,,,,,,,3.4
1996,Polónia,,,,,,,6.1
1996,Portugal,,,,,,,3.5
1996,Roménia,,,,,,,3.9
1996,Suécia,,,,,,,1.7
1996,União Europeia 27,,,,,,,1.8
1997,,Portugal,,,,,,4.4
1997,Alemanha,,,,,,,1.9
1997,Áustria,,,,,,,2.1
1997,Bélgica,,,,,,,3.8
1997,Bulgária,,,,,,,-14.1
1997,Chéquia,,,,,,,-0.6
1997,Chipre,,,,,,,2.6
1997,Croácia,,,,,,,6.2
1997,Dinamarca,,,,,,,3.2
1997,Eslováquia,,,,,,,5.5
1997,Eslovénia,,,,,,,5.2
1997,Espanha,,,,,,,3.6
1997,Estónia,,,,,,,13.1
1997,Finlândia,,,,,,,6.4
1997,França,,,,,,,2.5
1997,Grécia,,,,,,,3.6
1997,Hungria,,,,,,,3.0
1997,Irlanda,,,,,,,11.0
1997,Itália,,,,,,,1.9
1997,Letónia,,,,,,,9.2
1997,Lituânia,,,,,,,8.3
1997,Luxemburgo,,,,,,,5.4
1997,Malta,,,,,,x,
1997,Países Baixos,,,,,,,4.2
1997,Polónia,,,,,,,6.4
1997,Portugal,,,,,,,4.4
1997,Roménia,,,,,,,-4.8
1997,Suécia,,,,,,,3.1
1997,União Europeia 27,,,,,,,2.7
1998,,Portugal,,,,,,4.8
1998,Alemanha,,,,,,,2.1
1998,Áustria,,,,,,,3.5
1998,Bélgica,,,,,,,2.0
1998,Bulgária,,,,,,,3.8
1998,Chéquia,,,,,,,-0.4
1998,Chipre,,,,,,,6.1
1998,Croácia,,,,,,,2.3
1998,Dinamarca,,,,,,,2.3
1998,Eslováquia,,,,,,,3.8
1998,Eslovénia,,,,,,,3.1
1998,Espanha,,,,,,,4.3
1998,Estónia,,,,,,,4.3
1998,Finlândia,,,,,,,5.5
1998,França,,,,,,,3.5
1998,Grécia,,,,,,,3.4
1998,Hungria,,,,,,,3.8
1998,Irlanda,,,,,,,8.8
1998,Itália,,,,,,,1.8
1998,Letónia,,,,,,,6.6
1998,Lituânia,,,,,,,7.5
1998,Luxemburgo,,,,,,,6.7
1998,Malta,,,,,,x,
1998,Países Baixos,,,,,,,4.6
1998,Polónia,,,,,,,4.6
1998,Portugal,,,,,,,4.8
1998,Roménia,,,,,,,-2.0
1998,Suécia,,,,,,,4.2
1998,União Europeia 27,,,,,,,3.0
1999,,Portugal,,,,,,3.9
1999,Alemanha,,,,,,,2.1
1999,Áustria,,,,,,,3.8
1999,Bélgica,,,,,,,3.5
1999,Bulgária,,,,,,,-8.4
1999,Chéquia,,,,,,,1.4
1999,Chipre,,,,,,,5.0
1999,Croácia,,,,,,,-0.8
1999,Dinamarca,,,,,,,3.0
1999,Eslováquia,,,,,,,-0.5
1999,Eslovénia,,,,,,,5.3
1999,Espanha,,,,,,,4.4
1999,Estónia,,,,,,,-0.4
1999,Finlândia,,,,,,,4.4
1999,França,,,,,,,3.4
1999,Grécia,,,,,,,2.7
1999,Hungria,,,,,,,3.1
1999,Irlanda,,,,,,,10.5
1999,Itália,,,,,,,1.7
1999,Letónia,,,,,,,2.8
1999,Lituânia,,,,,,,-1.1
1999,Luxemburgo,,,,,,,8.2
1999,Malta,,,,,,x,
1999,Países Baixos,,,,,,,5.0
1999,Polónia,,,,,,,4.7
1999,Portugal,,,,,,,3.9
1999,Roménia,,,,,,,-0.4
1999,Suécia,,,,,,,4.2
1999,União Europeia 27,,,,,,,3.0
2000,,Portugal,,,,,,3.8
2000,Alemanha,,,,,,,2.9
2000,Áustria,,,,,,,3.2
2000,Bélgica,,,,,,,3.7
2000,Bulgária,,,,,,,4.6
2000,Chéquia,,,,,,,4.0
2000,Chipre,,,,,,,6.0
2000,Croácia,,,,,,,2.9
2000,Dinamarca,,,,,,,3.7
2000,Eslováquia,,,,,,,0.8
2000,Eslovénia,,,,,,,3.5
2000,Espanha,,,,,,,5.2
2000,Estónia,,,,,,,10.1
2000,Finlândia,,,,,,,5.8
2000,França,,,,,,,4.1
2000,Grécia,,,,,,,4.1
2000,Hungria,,,,,,,4.4
2000,Irlanda,,,,,,,9.4
2000,Itália,,,,,,,3.9
2000,Letónia,,,,,,,5.8
2000,Lituânia,,,,,,,3.4
2000,Luxemburgo,,,,,,,6.9
2000,Malta,,,,,,x,
2000,Países Baixos,,,,,,,4.2
2000,Polónia,,,,,,,4.7
2000,Portugal,,,,,,,3.8
2000,Roménia,,,,,,,2.5
2000,Suécia,,,,,,,4.6
2000,União Europeia 27,,,,,,,3.9
2001,,Portugal,,,,,,1.9
2001,Alemanha,,,,,,,1.6
2001,Áustria,,,,,,,1.3
2001,Bélgica,,,,,,,1.1
2001,Bulgária,,,,,,,3.8
2001,Chéquia,,,,,,,2.9
2001,Chipre,,,,,,,4.0
2001,Croácia,,,,,,,3.1
2001,Dinamarca,,,,,,,1.0
2001,Eslováquia,,,,,,,2.9
2001,Eslovénia,,,,,,,2.8
2001,Espanha,,,,,,,3.9
2001,Estónia,,,,,,,5.9
2001,Finlândia,,,,,,,2.6
2001,França,,,,,,,1.9
2001,Grécia,,,,,,,4.7
2001,Hungria,,,,,,,4.1
2001,Irlanda,,,,,,,5.3
2001,Itália,,,,,,,2.0
2001,Letónia,,,,,,,6.5
2001,Lituânia,,,,,,,6.5
2001,Luxemburgo,,,,,,,3.1
2001,Malta,,,,,,,-0.8
2001,Países Baixos,,,,,,,2.3
2001,Polónia,,,,,,,1.2
2001,Portugal,,,,,,,1.9
2001,Roménia,,,,,,,5.2
2001,Suécia,,,,,,,1.4
2001,União Europeia 27,,,,,,,2.1
2002,,Portugal,,,,,,0.8
2002,Alemanha,,,,,,,-0.2
2002,Áustria,,,,,,,1.5
2002,Bélgica,,,,,,,1.7
2002,Bulgária,,,,,,,5.9
2002,Chéquia,,,,,,,1.5
2002,Chipre,,,,,,,3.7
2002,Croácia,,,,,,,5.8
2002,Dinamarca,,,,,,,0.5
2002,Eslováquia,,,,,,,4.4
2002,Eslovénia,,,,,,,3.3
2002,Espanha,,,,,,,2.8
2002,Estónia,,,,,,,6.9
2002,Finlândia,,,,,,,1.7
2002,França,,,,,,,1.1
2002,Grécia,,,,,,,4.7
2002,Hungria,,,,,,,4.7
2002,Irlanda,,,,,,,5.9
2002,Itália,,,,,,,0.3
2002,Letónia,,,,,,,7.7
2002,Lituânia,,,,,,,6.7
2002,Luxemburgo,,,,,,,3.2
2002,Malta,,,,,,,2.7
2002,Países Baixos,,,,,,,0.2
2002,Polónia,,,,,,,1.9
2002,Portugal,,,,,,,0.8
2002,Roménia,,,,,,,5.7
2002,Suécia,,,,,,,2.3
2002,União Europeia 27,,,,,,,1.0
2003,,Portugal,,,,,,-0.9
2003,Alemanha,,,,,,,-0.5
2003,Áustria,,,,,,,1.1
2003,Bélgica,,,,,,,1.0
2003,Bulgária,,,,,,,5.2
2003,Chéquia,,,,,,,3.3
2003,Chipre,,,,,,,2.6
2003,Croácia,,,,,,,5.6
2003,Dinamarca,,,,,,,0.4
2003,Eslováquia,,,,,,,4.9
2003,Eslovénia,,,,,,,3.2
2003,Espanha,,,,,,,2.9
2003,Estónia,,,,,,,7.6
2003,Finlândia,,,,,,,2.0
2003,França,,,,,,,1.0
2003,Grécia,,,,,,,5.8
2003,Hungria,,,,,,,3.9
2003,Irlanda,,,,,,,3.0
2003,Itália,,,,,,,0.1
2003,Letónia,,,,,,,8.4
2003,Lituânia,,,,,,,10.6
2003,Luxemburgo,,,,,,,2.6
2003,Malta,,,,,,,3.7
2003,Países Baixos,,,,,,,0.1
2003,Polónia,,,,,,,3.5
2003,Portugal,,,,,,,-0.9
2003,Roménia,,,,,,,2.3
2003,Suécia,,,,,,,1.9
2003,União Europeia 27,,,,,,,0.9
2004,,Portugal,,,,,,1.8
2004,Alemanha,,,,,,,1.2
2004,Áustria,,,,,,,2.6
2004,Bélgica,,,,,,,3.6
2004,Bulgária,,,,,,,6.5
2004,Chéquia,,,,,,,4.7
2004,Chipre,,,,,,,5.0
2004,Croácia,,,,,,,4.2
2004,Dinamarca,,,,,,,2.8
2004,Eslováquia,,,,,,,5.4
2004,Eslovénia,,,,,,,4.5
2004,Espanha,,,,,,,3.1
2004,Estónia,,,,,,,6.8
2004,Finlândia,,,,,,,4.0
2004,França,,,,,,,2.9
2004,Grécia,,,,,,,5.4
2004,Hungria,,,,,,,5.0
2004,Irlanda,,,,,,,6.8
2004,Itália,,,,,,,1.5
2004,Letónia,,,,,,,8.7
2004,Lituânia,,,,,,,6.5
2004,Luxemburgo,,,,,,,4.2
2004,Malta,,,,,,,0.4
2004,Países Baixos,,,,,,,2.0
2004,Polónia,,,,,,,5.1
2004,Portugal,,,,,,,1.8
2004,Roménia,,,,,,,10.4
2004,Suécia,,,,,,,4.2
2004,União Europeia 27,,,,,,,2.5
2005,,Portugal,,,,,,0.8
2005,Alemanha,,,,,,,0.9
2005,Áustria,,,,,,,2.3
2005,Bélgica,,,,,,,2.3
2005,Bulgária,,,,,,,7.1
2005,Chéquia,,,,,,,6.4
2005,Chipre,,,,,,,4.9
2005,Croácia,,,,,,,4.3
2005,Dinamarca,,,,,,,2.4
2005,Eslováquia,,,,,,,6.5
2005,Eslovénia,,,,,,,3.9
2005,Espanha,,,,,,,3.6
2005,Estónia,,,,,,,9.5
2005,Finlândia,,,,,,,2.8
2005,França,,,,,,,1.9
2005,Grécia,,,,,,,1.2
2005,Hungria,,,,,,,4.3
2005,Irlanda,,,,,,,5.7
2005,Itália,,,,,,,0.8
2005,Letónia,,,,,,,11.6
2005,Lituânia,,,,,,,7.7
2005,Luxemburgo,,,,,,,2.5
2005,Malta,,,,,,,2.9
