01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,,Portugal,,,,,,15.1
1961,,Portugal,,,,,,15.7
1962,,Portugal,,,,,,17.0
1963,,Portugal,,,,,,18.8
1964,,Portugal,,,,,,19.6
1965,,Portugal,,,,,,18.2
1966,,Portugal,,,,,,17.9
1967,,Portugal,,,,,,16.4
1968,,Portugal,,,,,,15.2
1969,,Portugal,,,,,,14.7
1970,,Portugal,,,,,,14.4
1971,,Portugal,,,,,,13.7
1972,,Portugal,,,,,,12.4
1973,,Portugal,,,,,,12.1
1974,,Portugal,,,,,,17.4
1975,,Portugal,,,,,,21.2
1976,,Portugal,,,,,,26.2
1977,,Portugal,,,,,,29.9
1978,,Portugal,,,,,,32.7
1979,,Portugal,,,,,,34.8
1980,,Portugal,,,,,,30.3
1981,,Portugal,,,,,,37.6
1982,,Portugal,,,,,,41.2
1983,,Portugal,,,,,,45.0
1984,,Portugal,,,,,,47.6
1985,,Portugal,,,,,,54.8
1986,,Portugal,,,,,,56.5
1987,,Portugal,,,,,,61.6
1988,,Portugal,,,,,,60.9
1989,,Portugal,,,,,,58.5
1990,,Portugal,,,,,,55.5
1991,,Portugal,,,,,,57.8
1992,,Portugal,,,,,,52.0
1993,,Portugal,,,,,,57.5
1994,,Portugal,,,,,,59.9
1995,,Portugal,,,,,,62.2
1995,Alemanha,,,,,,r,54.9
1995,Áustria,,,,,,,68.6
1995,Bélgica,,,,,,,131.3
1995,Bulgária,,,,,,x,
1995,Chéquia,,,,,,,13.5
1995,Chipre,,,,,,,49.7
1995,Croácia,,,,,,,23.3
1995,Dinamarca,,,,,,x,
1995,Eslováquia,,,,,,,21.3
1995,Eslovénia,,,,,,,18.2
1995,Espanha,,,,,,,61.6
1995,Estónia,,,,,,,7.9
1995,Finlândia,,,,,,,55.2
1995,França,,,,,,,57.8
1995,Grécia,,,,,,,100.4
1995,Hungria,,,,,,,83.9
1995,Irlanda,,,,,,,78.6
1995,Itália,,,,,,,119.1
1995,Letónia,,,,,,,14.3
1995,Lituânia,,,,,,,11.4
1995,Luxemburgo,,,,,,,10.1
1995,Malta,,,,,,,34.3
1995,Países Baixos,,,,,,,73.2
1995,Polónia,,,,,,,47.3
1995,Portugal,,,,,,,62.2
1995,Roménia,,,,,,,6.6
1995,Suécia,,,,,,,68.8
1996,,Portugal,,,,,,63.3
1996,Alemanha,,,,,,r,57.7
1996,Áustria,,,,,,,68.6
1996,Bélgica,,,,,,,129.0
1996,Bulgária,,,,,,x,
1996,Chéquia,,,,,,,11.5
